Country,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
Ecuador,2025-05-19,Moderate rain,15.9,10.2,8.41,6.5,No Significant Risks
Ecuador,2025-05-20,Moderate rain,18.7,9.5,5.0,9.7,No Significant Risks
Ecuador,2025-05-21,Moderate rain,15.5,9.1,5.16,10.4,No Significant Risks
Ecuador,2025-05-22,Patchy rain nearby,13.6,10.2,0.77,6.8,Low Precipitation (Drought Risk)
Ecuador,2025-05-23,Patchy rain nearby,17.1,9.4,0.82,7.9,Low Precipitation (Drought Risk)
Ecuador,2025-05-24,Patchy rain nearby,18.9,8.9,2.1,9.0,Low Precipitation (Drought Risk)
Ecuador,2025-05-25,Patchy rain nearby,18.9,9.7,0.96,7.2,Low Precipitation (Drought Risk)
Bolivia,2025-05-19,Sunny,12.4,-0.2,0.09,11.2,Low Precipitation (Drought Risk)
Bolivia,2025-05-20,Patchy rain nearby,13.1,1.9,1.13,17.6,Low Precipitation (Drought Risk)
Bolivia,2025-05-21,Patchy rain nearby,13.5,1.0,0.16,11.2,Low Precipitation (Drought Risk)
Bolivia,2025-05-22,Sunny,12.9,-0.1,0.05,7.6,Low Precipitation (Drought Risk)
Bolivia,2025-05-23,Sunny,13.0,0.2,0.02,6.1,Low Precipitation (Drought Risk)
Bolivia,2025-05-24,Sunny,13.7,0.8,0.03,7.2,Low Precipitation (Drought Risk)
Bolivia,2025-05-25,Sunny,12.9,1.3,0.01,15.1,Low Precipitation (Drought Risk)
France,2025-05-19,Sunny,21.8,9.6,0.0,16.2,Low Precipitation (Drought Risk)
France,2025-05-20,Sunny,23.9,11.6,0.05,18.4,Low Precipitation (Drought Risk)
France,2025-05-21,Patchy rain nearby,20.6,11.2,0.13,14.8,Low Precipitation (Drought Risk)
France,2025-05-22,Sunny,18.9,8.2,0.02,23.8,Low Precipitation (Drought Risk)
France,2025-05-23,Sunny,16.5,6.2,0.0,16.6,Low Precipitation (Drought Risk)
France,2025-05-24,Patchy rain nearby,19.3,7.9,0.17,17.6,Low Precipitation (Drought Risk)
France,2025-05-25,Patchy rain nearby,16.5,11.8,0.79,20.9,Low Precipitation (Drought Risk)
United States,2025-05-19,Overcast ,28.6,23.2,0.0,28.1,Low Precipitation (Drought Risk)
United States,2025-05-20,Overcast ,28.3,22.9,0.0,23.8,Low Precipitation (Drought Risk)
United States,2025-05-21,Patchy rain nearby,32.3,21.8,0.8,18.4,Low Precipitation (Drought Risk)
United States,2025-05-22,Sunny,27.3,19.1,0.0,14.8,Low Precipitation (Drought Risk)
United States,2025-05-23,Sunny,30.6,19.0,0.0,16.2,Low Precipitation (Drought Risk)
United States,2025-05-24,Sunny,29.7,21.9,0.0,16.6,Low Precipitation (Drought Risk)
United States,2025-05-25,Sunny,30.4,21.9,0.0,15.1,Low Precipitation (Drought Risk)
Mexico,2025-05-19,Sunny,31.8,16.7,0.0,18.4,Low Precipitation (Drought Risk)
Mexico,2025-05-20,Patchy rain nearby,31.9,17.9,2.11,18.0,Low Precipitation (Drought Risk)
Mexico,2025-05-21,Moderate rain,28.9,18.3,5.09,14.0,No Significant Risks
Mexico,2025-05-22,Moderate rain,26.2,15.2,6.63,22.0,No Significant Risks
Mexico,2025-05-23,Patchy rain nearby,24.5,16.1,0.91,19.1,Low Precipitation (Drought Risk)
Mexico,2025-05-24,Patchy rain nearby,23.4,15.9,0.91,17.3,Low Precipitation (Drought Risk)
Mexico,2025-05-25,Patchy rain nearby,23.7,16.4,4.86,9.0,Low Precipitation (Drought Risk)
Canada,2025-05-19,Overcast ,8.5,3.1,0.0,24.5,Low Precipitation (Drought Risk)
Canada,2025-05-20,Overcast ,12.4,4.7,0.0,20.2,Low Precipitation (Drought Risk)
Canada,2025-05-21,Patchy rain nearby,11.0,4.6,1.22,19.1,Low Precipitation (Drought Risk)
Canada,2025-05-22,Patchy rain nearby,11.8,6.7,0.22,17.6,Low Precipitation (Drought Risk)
Canada,2025-05-23,Patchy rain nearby,12.8,5.7,0.65,14.8,Low Precipitation (Drought Risk)
Canada,2025-05-24,Patchy rain nearby,13.1,2.8,0.11,17.6,Low Precipitation (Drought Risk)
Canada,2025-05-25,Patchy rain nearby,12.7,3.5,0.71,12.6,Low Precipitation (Drought Risk)
Germany,2025-05-19,Patchy rain nearby,17.5,9.1,0.13,15.8,Low Precipitation (Drought Risk)
Germany,2025-05-20,Sunny,22.3,8.9,0.0,12.2,Low Precipitation (Drought Risk)
Germany,2025-05-21,Partly Cloudy ,21.5,13.0,0.0,15.5,Low Precipitation (Drought Risk)
Germany,2025-05-22,Cloudy ,15.3,7.4,0.02,34.9,Low Precipitation (Drought Risk)
Germany,2025-05-23,Patchy rain nearby,13.8,6.0,1.18,26.6,Low Precipitation (Drought Risk)
Germany,2025-05-24,Partly Cloudy ,14.4,5.6,0.0,20.9,Low Precipitation (Drought Risk)
Germany,2025-05-25,Patchy rain nearby,13.8,10.5,1.37,19.1,Low Precipitation (Drought Risk)
Ukraine,2025-05-19,Patchy rain nearby,16.7,6.9,2.07,10.1,Low Precipitation (Drought Risk)
Ukraine,2025-05-20,Patchy rain nearby,15.8,8.3,0.76,22.0,Low Precipitation (Drought Risk)
Ukraine,2025-05-21,Sunny,20.6,9.4,0.01,24.8,Low Precipitation (Drought Risk)
Ukraine,2025-05-22,Partly Cloudy ,22.5,13.3,0.05,22.3,Low Precipitation (Drought Risk)
Ukraine,2025-05-23,Patchy rain nearby,19.4,11.3,0.22,27.4,Low Precipitation (Drought Risk)
Ukraine,2025-05-24,Patchy rain nearby,19.3,10.5,4.04,20.2,Low Precipitation (Drought Risk)
Ukraine,2025-05-25,Patchy rain nearby,12.2,8.4,3.09,18.4,Low Precipitation (Drought Risk)
Spain,2025-05-19,Sunny,20.1,13.0,0.05,29.2,Low Precipitation (Drought Risk)
Spain,2025-05-20,Sunny,24.3,11.1,0.0,13.3,Low Precipitation (Drought Risk)
Spain,2025-05-21,Sunny,26.0,12.7,0.0,13.7,Low Precipitation (Drought Risk)
